row_type,event_id,event_type,event_label_ko,count,frame,time_sec,team_id,team_name,shot_made_count,shot_missed_count,pass_count,rebound_count,steal_or_block_count,shot_success_rate_pct,possession_frame_count,possession_time_sec,possession_pct,player_track_id,secondary_track_id,confidence,details
event,E00383,shot_missed,슛실패,,43482,1449.4,2,team_2,,,,,,,,,,61822,,0.345,near_rim_no_make_detected
event,E00384,rebound,리바운드,,43576,1452.533,,unknown,,,,,,,,,,67096,,0.5,defensive_rebound_after_missed_shot_frame=43440
event,E00385,rebound,리바운드,,43576,1452.533,,unknown,,,,,,,,,,67096,,0.5,defensive_rebound_after_missed_shot_frame=43482
event,E00386,pass,패스,,43720,1457.333,1,team_1,,,,,,,,,,61966,61972,0.68,stable_possession_changed_same_team;gap_frames=1;left_frames=70;right_frames=30
event,E00387,shot_made,슛성공,,43915,1463.833,1,team_1,,,,,,,,,,61999,,0.665,ball_crossed_rim_zone
event,E00388,pass,패스,,43989,1466.3,1,team_1,,,,,,,,,,62498,62444,0.605,stable_possession_changed_same_team;gap_frames=2;left_frames=18;right_frames=7
event,E00389,pass,패스,,44040,1468.0,1,team_1,,,,,,,,,,62387,62444,0.68,stable_possession_changed_same_team;gap_frames=1;left_frames=13;right_frames=32
event,E00390,steal_or_block,스틸/블락,,44072,1469.067,2,team_2,,,,,,,,,,62570,62387,0.64,stable_possession_changed_opponent_team;gap_frames=1;left_frames=32;right_frames=13
event,E00391,steal_or_block,스틸/블락,,44111,1470.367,1,team_1,,,,,,,,,,62896,62570,0.64,stable_possession_changed_opponent_team;gap_frames=3;left_frames=18;right_frames=19
event,E00392,steal_or_block,스틸/블락,,44150,1471.667,1,team_1,,,,,,,,,,62896,62977,0.64,stable_possession_changed_opponent_team;gap_frames=1;left_frames=14;right_frames=19
event,E00393,steal_or_block,스틸/블락,,44460,1482.0,2,team_2,,,,,,,,,,63599,63604,0.64,stable_possession_changed_opponent_team;gap_frames=1;left_frames=15;right_frames=12
event,E00394,shot_made,슛성공,,44909,1496.967,2,team_2,,,,,,,,,,64039,,0.48,ball_crossed_rim_zone
event,E00395,pass,패스,,45097,1503.233,1,team_1,,,,,,,,,,64407,64399,0.605,stable_possession_changed_same_team;gap_frames=1;left_frames=7;right_frames=37
event,E00396,pass,패스,,45257,1508.567,1,team_1,,,,,,,,,,64397,64408,0.59,stable_possession_changed_same_team;gap_frames=2;left_frames=25;right_frames=6
event,E00397,pass,패스,,45303,1510.1,1,team_1,,,,,,,,,,64408,64407,0.68,stable_possession_changed_same_team;gap_frames=1;left_frames=29;right_frames=25
event,E00398,pass,패스,,45330,1511.0,1,team_1,,,,,,,,,,64399,64408,0.65,stable_possession_changed_same_team;gap_frames=3;left_frames=25;right_frames=10
event,E00399,pass,패스,,45468,1515.6,1,team_1,,,,,,,,,,64633,64604,0.635,stable_possession_changed_same_team;gap_frames=1;left_frames=12;right_frames=9
event,E00400,pass,패스,,45493,1516.433,1,team_1,,,,,,,,,,64399,64612,0.68,stable_possession_changed_same_team;gap_frames=1;left_frames=12;right_frames=28
event,E00401,pass,패스,,45544,1518.133,1,team_1,,,,,,,,,,64612,64399,0.59,stable_possession_changed_same_team;gap_frames=18;left_frames=28;right_frames=6
event,E00402,pass,패스,,45580,1519.333,1,team_1,,,,,,,,,,64399,64612,0.59,stable_possession_changed_same_team;gap_frames=31;left_frames=6;right_frames=6
event,E00403,pass,패스,,45620,1520.667,1,team_1,,,,,,,,,,64399,64408,0.635,stable_possession_changed_same_team;gap_frames=1;left_frames=34;right_frames=9
event,E00404,shot_missed,슛실패,,45726,1524.2,1,team_1,,,,,,,,,,64880,,0.375,near_rim_no_make_detected
event,E00405,rebound,리바운드,,45740,1524.667,1,team_1,,,,,,,,,,64880,,0.5,offensive_rebound_after_missed_shot_frame=45726
event,E00406,shot_missed,슛실패,,45869,1528.967,2,team_2,,,,,,,,,,65180,,0.45,near_rim_no_make_detected
event,E00407,rebound,리바운드,,45875,1529.167,2,team_2,,,,,,,,,,65180,,0.5,offensive_rebound_after_missed_shot_frame=45869
event,E00408,shot_made,슛성공,,45919,1530.633,2,team_2,,,,,,,,,,65340,,0.33,ball_crossed_rim_zone
event,E00409,pass,패스,,46028,1534.267,1,team_1,,,,,,,,,,65370,64959,0.59,stable_possession_changed_same_team;gap_frames=3;left_frames=6;right_frames=17
event,E00410,pass,패스,,46060,1535.333,1,team_1,,,,,,,,,,64898,65370,0.68,stable_possession_changed_same_team;gap_frames=16;left_frames=17;right_frames=28
event,E00411,pass,패스,,46098,1536.6,1,team_1,,,,,,,,,,65374,65633,0.605,stable_possession_changed_same_team;gap_frames=1;left_frames=7;right_frames=39
event,E00412,steal_or_block,스틸/블락,,46179,1539.3,2,team_2,,,,,,,,,,65741,65697,0.625,stable_opponent_possession_after_missed_shot_or_block;gap_frames=1;left_frames=33;right_frames=11
event,E00413,shot_missed,슛실패,,46223,1540.767,1,team_1,,,,,,,,,,64898,,0.345,near_rim_no_make_detected
event,E00414,rebound,리바운드,,46245,1541.5,2,team_2,,,,,,,,,,65741,,0.5,defensive_rebound_after_missed_shot_frame=46223
event,E00415,shot_made,슛성공,,46259,1541.967,2,team_2,,,,,,,,,,65741,,0.435,ball_crossed_rim_zone
event,E00416,pass,패스,,46338,1544.6,1,team_1,,,,,,,,,,65860,65875,0.62,stable_possession_changed_same_team;gap_frames=1;left_frames=8;right_frames=9
event,E00417,steal_or_block,스틸/블락,,46569,1552.3,2,team_2,,,,,,,,,,66227,65999,0.565,stable_possession_changed_opponent_team;gap_frames=1;left_frames=7;right_frames=15
