row_type,event_id,event_type,event_label_ko,count,frame,time_sec,team_id,team_name,shot_attempt_count,shot_made_count,shot_missed_count,pass_count,steal_or_block_count,foul_count,rebound_count,shot_success_rate_pct,possession_frame_count,possession_time_sec,possession_pct,player_track_id,secondary_track_id,confidence,details
event,E00071,pass,패스,,1351,45.033,1,unknown,,,,,,,,,,,,1523,1727,0.58,possession_changed_same_team;gap_frames=1
event,E00072,pass,패스,,1358,45.267,1,unknown,,,,,,,,,,,,1719,1523,0.58,possession_changed_same_team;gap_frames=4
event,E00073,pass,패스,,1365,45.5,1,unknown,,,,,,,,,,,,1749,1719,0.58,possession_changed_same_team;gap_frames=1
event,E00074,pass,패스,,1381,46.033,1,unknown,,,,,,,,,,,,1712,1749,0.58,possession_changed_same_team;gap_frames=1
event,E00075,pass,패스,,1385,46.167,1,unknown,,,,,,,,,,,,1763,1712,0.58,possession_changed_same_team;gap_frames=1
event,E00076,pass,패스,,1390,46.333,1,unknown,,,,,,,,,,,,1764,1763,0.58,possession_changed_same_team;gap_frames=1
event,E00077,pass,패스,,1410,47.0,1,unknown,,,,,,,,,,,,1853,1764,0.58,possession_changed_same_team;gap_frames=18
event,E00078,steal_or_block,스틸/블락,,1433,47.767,2,unknown,,,,,,,,,,,,1854,1853,0.52,possession_changed_opponent_team;gap_frames=13
event,E00079,steal_or_block,스틸/블락,,1448,48.267,1,unknown,,,,,,,,,,,,1888,1854,0.52,possession_changed_opponent_team;gap_frames=1
event,E00080,pass,패스,,1455,48.5,1,unknown,,,,,,,,,,,,1879,1888,0.58,possession_changed_same_team;gap_frames=2
event,E00081,shot_attempt,슛시도,,1456,48.533,1,unknown,,,,,,,,,,,,1888,,0.82,near_rim_distance_px=23.5
event,E00082,shot_made,슛성공,,1456,48.533,1,unknown,,,,,,,,,,,,1888,,0.7,ball_crossed_rim_zone
event,E00083,shot_attempt,슛시도,,1518,50.6,2,unknown,,,,,,,,,,,,1854,,0.45,near_rim_distance_px=245.0
event,E00084,shot_missed,슛실패,,1518,50.6,2,unknown,,,,,,,,,,,,1854,,0.33,near_rim_no_make_detected
event,E00085,rebound,리바운드,,1519,50.633,1,unknown,,,,,,,,,,,,1832,,0.5,defensive_rebound_after_missed_shot_frame=1518
event,E00086,steal_or_block,스틸/블락,,1580,52.667,1,unknown,,,,,,,,,,,,2006,1795,0.52,possession_changed_opponent_team;gap_frames=1
event,E00087,steal_or_block,스틸/블락,,1591,53.033,2,unknown,,,,,,,,,,,,1795,2006,0.52,possession_changed_opponent_team;gap_frames=10
event,E00088,pass,패스,,1600,53.333,2,unknown,,,,,,,,,,,,2138,1795,0.58,possession_changed_same_team;gap_frames=3
event,E00089,pass,패스,,1620,54.0,2,unknown,,,,,,,,,,,,2160,2138,0.58,possession_changed_same_team;gap_frames=1
event,E00090,pass,패스,,1622,54.067,2,unknown,,,,,,,,,,,,2138,2160,0.58,possession_changed_same_team;gap_frames=1
event,E00091,steal_or_block,스틸/블락,,1671,55.7,1,unknown,,,,,,,,,,,,2006,2138,0.52,possession_changed_opponent_team;gap_frames=2
event,E00092,foul,파울,,1671,55.7,1,unknown,,,,,,,,,,,,2006,2300,0.28,heuristic_contact_near_ball_during_opponent_possession_change
event,E00093,pass,패스,,1688,56.267,1,unknown,,,,,,,,,,,,2144,2006,0.58,possession_changed_same_team;gap_frames=1
event,E00094,shot_attempt,슛시도,,1765,58.833,1,unknown,,,,,,,,,,,,2144,,0.82,near_rim_distance_px=8.6
event,E00095,shot_made,슛성공,,1765,58.833,1,unknown,,,,,,,,,,,,2144,,0.7,ball_crossed_rim_zone
